Utterance	Intents
hello	l_VAPOCen_Email, l_VAPOCen_General
goodbye	l_VAPOCen_Email, l_VAPOCen_General
never mind	l_VAPOCen_Email, l_VAPOCen_General
log out	l_VAPOCen_Email, l_VAPOCen_General
start over	l_VAPOCen_Email, l_VAPOCen_General
move back	l_VAPOCen_Email, l_VAPOCen_General
i would like to cancel	l_VAPOCen_Email, l_VAPOCen_General
previous	l_VAPOCen_Calendar, l_VAPOCen_Email, l_VAPOCen_General
sign out	l_VAPOCen_Email, l_VAPOCen_General
go to previous	l_VAPOCen_Email, l_VAPOCen_General
what can i say	l_VAPOCen_Email, l_VAPOCen_General
next	l_VAPOCen_Calendar, l_VAPOCen_General, l_VAPOCen_ToDo
that's it thanks	l_VAPOCen_Email, l_VAPOCen_General
ok bye	l_VAPOCen_Email, l_VAPOCen_General
hi	l_VAPOCen_Email, l_VAPOCen_General
go back	l_VAPOCen_Calendar, l_VAPOCen_Email
exit	l_VAPOCen_Email, l_VAPOCen_General
why doesn't this work	l_VAPOCen_Email, l_VAPOCen_General
cancel	l_VAPOCen_Email, l_VAPOCen_General, l_VAPOCen_ToDo
what can you help me with	l_VAPOCen_Email, l_VAPOCen_General
ok thanks	l_VAPOCen_Email, l_VAPOCen_General
stop	l_VAPOCen_Email, l_VAPOCen_General
good morning	l_VAPOCen_Email, l_VAPOCen_General
good night	l_VAPOCen_Email, l_VAPOCen_General
restart	l_VAPOCen_Email, l_VAPOCen_General
transfer me please	l_VAPOCen_Email, l_VAPOCen_General
help	l_VAPOCen_Email, l_VAPOCen_General
hey	l_VAPOCen_Email, l_VAPOCen_General
abort	l_VAPOCen_Email, l_VAPOCen_General
don't	l_VAPOCen_Email, l_VAPOCen_General
hiya	l_VAPOCen_Email, l_VAPOCen_General
show next	l_VAPOCen_General, l_VAPOCen_ToDo
logout	l_VAPOCen_Email, l_VAPOCen_General
don't do that	l_VAPOCen_Email, l_VAPOCen_General
i want to talk to a human	l_VAPOCen_Email, l_VAPOCen_General
